FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
25 de julio de 2024,,GERSSON L3,Suscripción Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 14.8,,,,
25 de julio de 2024,,GERSSON L3,Pago a Angelica Envios,Servicios Profesionales,Angelica Envios,,,,,,,,,-$ 412.0,
25 de julio de 2024,,GERSSON L3,Pago a Jorge Diseñador,Servicios Profesionales,Jorge Diseñador,,,,,,,,,-$ 383.0,
25 de julio de 2024,,GERSSON L3,Pago a Laura Videos,Nómina,Lorena Videos,,,,,,,,,-$ 153.0,
25 de julio de 2024,,GERSSON L3,Pago a Lorena Videos,Nómina,Lorena Videos,,,,,,,,,-$ 92.0,
28 de julio de 2024,,AGENCIA X,Suscripción Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 20.5,,,,
31 de julio de 2024,,CURVES,Pago por ebook traducido,Pagos a Terceros,Tiff Ebook,,,,,,-$ 83.0,,,,
31 de julio de 2024,,GERSSON L3,Publicidad Facebook Ads,Marketing,Facebook Ads,,,,,,"-$ 5,772.0 ",,,,
4 de agosto de 2024,,GERSSON L3,Suscripción Stape,Suscripciones,Stape,,,,,,-$ 50.0,,,,
6 de agosto de 2024,,AGENCIA X,Suscripción Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 11.1,,,,
16 de agosto de 2024,,GERSSON L3,Suscripción StreamYard,Suscripciones,StreamYard,,,,,,-$ 99.0,,,,
19 de agosto de 2024,,FONDO LIBRE,Reparto utilidades Jerwin,Distribución de Utilidades,Corte general,,,,,,"-$ 8,000.0 ",,,,
22 de agosto de 2024,,HOTMART,Retiro de Hotmart,Retiros,Hotmart,,,,,"-$ 29,209.0 "," $ 29,209.0 ",,,,
